brand;code;series;model;kind;size;description
sabian;22214X;AAX;Metal Ride;Ride;22;Extremely bright, dry and well defined ride and bell responses. The ultimate for getting your sticking heard.
sabian;221101X;AAX;Memphis Ride;Ride;21;With single-line lathing cut into its raw surface, this versatile model responds with a dry stick sound, controlled wash, a raw and cutting bell, and a crashable edge.
sabian;22172X;AAX;Raw Bell Dry Ride;Ride;21;A ride for every style, this RBDR delivers bright, crystal clear sticking at all volumes – low to loud – and solid bright punch when played on the raw, unlathed bell.
sabian;22012XBV;AAX;V-Ride;Ride;20;Maximizing the cutting potential of the silver in its bronze alloy, this raw-bottom model sounds bright and focused.
sabian;2201287XB;AAX;X-Plosion Ride;Ride;20;A large, raw bell boosts the crash-ability factor in a cymbal that’s equally at home performing light ride or heavy crash duty.
sabian;218OMX;AAX;Omni;hybrid;18;Designed with Jojo Mayer, OMNI is a revolutionary new cymbal design – never has so much versatility existed in just one cymbal.
sabian;222OMX;AAX;Omni;hybrid;22;Designed with Jojo Mayer, OMNI is a revolutionary new cymbal design – never has so much versatility existed in just one cymbal.
sabian;216XAC;AAX;Aero Crash;Crash;16;Combining an AAX X-Plosion raw bell design with an innovative hole pattern, the Aero Crash provides a perfect balance of frequency and cut.
sabian;218XAC;AAX;Aero Crash;Crash;18;Combining an AAX X-Plosion raw bell design with an innovative hole pattern, the Aero Crash provides a perfect balance of frequency and cut.
sabian;220XAC;AAX;Aero Crash;Crash;20;Combining an AAX X-Plosion raw bell design with an innovative hole pattern, the Aero Crash provides a perfect balance of frequency and cut.
sabian;21406X;AAX;Studio Crash;Crash;14;Thin design and small bell for quick response, tonally full, glassy, and shimmering accents.
sabian;21506X;AAX;Studio Crash;Crash;15;Thin design and small bell for quick response, tonally full, glassy, and shimmering accents.
sabian;21606X;AAX;Studio Crash;Crash;16;Thin design and small bell for quick response, tonally full, glassy, and shimmering accents.
sabian;21706X;AAX;Studio Crash;Crash;17;Thin design and small bell for quick response, tonally full, glassy, and shimmering accents.
sabian;21806X;AAX;Studio Crash;Crash;18;Thin design and small bell for quick response, tonally full, glassy, and shimmering accents.
sabian;21608X;AAX;Stage Crash;Crash;16;Explosive, full-response sound is rich with bright, high-end tone, for increased cut.
sabian;21708X;AAX;Stage Crash;Crash;17;Explosive, full-response sound is rich with bright, high-end tone, for increased cut.
sabian;21808X;AAX;Stage Crash;Crash;18;Explosive, full-response sound is rich with bright, high-end tone, for increased cut.
sabian;22008X;AAX;Stage Crash;Crash;20;Explosive, full-response sound is rich with bright, high-end tone, for increased cut.
sabian;21609X;AAX;Metal Crash;Crash;16;Solid response is fast and bright, for maximum penetrating power in even the loudest music.
sabian;21809X;AAX;Metal Crash;Crash;18;Solid response is fast and bright, for maximum penetrating power in even the loudest music.
